ARRONDISSEMENT,NAME,NSQAR,CAR,CARINSEE,LAR,NSQCO,SURFACE,PERIMETRE,Geometry_X,Geometry_Y
3,Temple,750 000 003,3,75 103,3ème Ardt,750001537,1170882828,4519264,48.86287238,2.360000986
19,Buttes-Chaumont,750 000 019,19,75 119,19ème Ardt,750001537,6792651129,11253182,48.887076,2.38482096
14,Observatoire,750 000 014,14,75 114,14ème Ardt,750001537,5614877309,10317483,48.8292445,2.326542044
10,Entrepôt,750 000 010,10,75 110,10ème Ardt,750001537,2891739442,6739375,48.87613004,2.360728488
12,Reuilly,750 000 012,12,75 112,12ème Ardt,750001537,16314782637,24089666,48.83497438,2.421324901
16,Passy,750 000 016,16,75 116,16ème Ardt,750001537,16372542129,17416110,48.86039211,2.261970788
11,Popincourt,750 000 011,11,75 111,11ème Ardt,750001537,3665441552,8282012,48.85905922,2.380058308
2,Bourse,750 000 002,2,75 102,2ème Ardt,750001537,991153745,4554104,48.86827922,2.342802547
4,Hôtel-de-Ville,750 000 004,4,75 104,4ème Ardt,750001537,1600585632,5420908,48.85434143,2.35762962
17,Batignolles-Monceau,750 000 017,17,75 117,17ème Ardt,750001537,5668834504,10775580,48.88732652,2.306776991
18,Buttes-Montmartre,750 000 018,18,75 118,18ème Ardt,750001537,5996051308,9916464,48.89256927,2.34816052
1,Louvre,750 000 001,1,75 101,1er Ardt,750001537,1824612860,6054937,48.8625627,2.336443362
5,Panthéon,750 000 005,5,75 105,5ème Ardt,750001537,2539374623,6239195,48.84444315,2.35071461
7,Palais-Bourbon,750 000 007,7,75 107,7ème Ardt,750001537,4090057185,8099425,48.85617443,2.312187691
20,Ménilmontant,750 000 020,20,75 120,20ème Ardt,750001537,5983446037,10704940,48.86346058,2.401188129
8,Élysée,750 000 008,8,75 108,8ème Ardt,750001537,3880036397,7880533,48.87272084,2.312554022
9,Opéra,750 000 009,9,75 109,9ème Ardt,750001537,2178303275,6471588,48.87716352,2.337457543
13,Gobelins,750 000 013,13,75 113,13ème Ardt,750001537,7149311091,11546547,48.82838803,2.36227244
15,Vaugirard,750 000 015,15,75 115,15ème Ardt,750001537,8494994081,13678798,48.84008538,2.292825822
6,Luxembourg,750 000 006,6,75 106,6ème Ardt,750001537,2153095586,6 483687,48.84913036,2.332897999
